batter,match_id,date,venue,bowling_team,batsman_runs,ball,is_wicket,is_boundary,is_six,is_four,strike_rate,put_avg,put_avg_expanding,rolling_avg_5,rolling_sr_5,venue_avg,venue_overall_avg,pvp_avg,career_avg,career_sr,career_matches,target_next_runs,target_next_sr
A Ashish Reddy,346,2012-04-29,Wankhede Stadium,Mumbai Indians,10,10,1,1,1,0,100.0,13.5,8.5,10.0,100.0,10.0,19.321590909090908,3.8888888888888893,20.875,109.9048,0,3.0,100.0
A Ashish Reddy,352,2012-05-04,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,3,3,1,0,0,0,100.0,15.0,18.333333333333332,6.5,100.0,19.5,20.09861111111111,3.25,10.0,100.0,1,8.0,100.0
A Ashish Reddy,359,2012-05-08,"Rajiv Gandhi International Stadium, Uppal",Punjab Kings,8,8,1,1,0,1,100.0,12.333333333333334,13.0,7.0,100.0,8.454545454545455,19.61134163208852,2.0,6.5,100.0,2,10.0,250.0
A Ashish Reddy,373,2012-05-18,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,10,4,0,2,0,2,250.0,12.333333333333334,12.333333333333334,7.75,137.5,8.454545454545455,19.61134163208852,4.0,7.0,100.0,3,4.0,80.0
A Ashish Reddy,376,2012-05-20,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore,4,5,1,0,0,0,80.0,11.0,12.333333333333334,7.0,126.0,8.454545454545455,19.61134163208852,18.0,7.75,137.5,4,7.0,175.0
A Ashish Reddy,384,2013-04-05,"Rajiv Gandhi International Stadium, Uppal",Pune Warriors,7,4,0,1,0,1,175.0,13.0,13.5,6.4,141.0,8.454545454545455,19.61134163208852,2.75,7.0,126.0,5,14.0,116.67
A Ashish Reddy,388,2013-04-07,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore,14,12,1,1,1,0,116.67,11.0,4.0,8.6,144.334,8.454545454545455,19.61134163208852,6.0,7.0,134.16666666666666,6,3.0,75.0
A Ashish Reddy,432,2013-04-09,M Chinnaswamy Stadium,Royal Challengers Bangalore,3,4,1,0,0,0,75.0,11.0,9.0,7.6,139.334,17.5,19.843718079673135,6.5,8.0,131.66714285714286,7,16.0,177.78
A Ashish Reddy,394,2013-04-12,Feroz Shah Kotla,Delhi Capitals,16,9,1,2,0,2,177.78,12.0,15.0,8.8,124.89000000000001,16.0,19.530133928571427,7.5,7.375,124.58375,8,4.0,80.0
A Ashish Reddy,397,2013-04-14,Eden Gardens,Kolkata Knight Riders,4,5,1,0,0,0,80.0,8.5,12.0,8.8,124.89000000000001,4.0,19.11173184357542,3.0,8.333333333333334,130.49444444444444,9,19.0,126.67
A Ashish Reddy,402,2013-04-17,Subrata Roy Sahara Stadium,Pune Warriors,19,15,0,1,1,0,126.67,13.0,7.0,11.2,115.224,19.0,17.1787072243346,5.833333333333333,7.9,125.44500000000001,10,7.0,100.0
A Ashish Reddy,405,2013-04-19,"Rajiv Gandhi International Stadium, Uppal",Punjab Kings,7,7,0,1,0,1,100.0,12.333333333333334,8.0,9.8,111.88999999999999,8.454545454545455,19.61134163208852,2.5,8.909090909090908,125.55636363636363,11,36.0,225.0
A Ashish Reddy,414,2013-04-25,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,36,16,0,5,3,2,225.0,15.0,3.0,16.4,141.89000000000001,19.5,20.09861111111111,1.0,8.75,123.42666666666666,12,14.0,127.27
A Ashish Reddy,416,2013-04-27,Sawai Mansingh Stadium,Rajasthan Royals,14,11,1,1,0,1,127.27,12.333333333333334,10.0,16.0,131.788,14.0,19.288100208768267,1.8333333333333333,10.846153846153847,131.23999999999998,13,5.0,71.43
A Ashish Reddy,428,2013-05-04,"Rajiv Gandhi International Stadium, Uppal",Delhi Capitals,5,7,1,1,0,1,71.43,12.0,16.0,16.2,130.074,8.454545454545455,19.61134163208852,2.0,11.071428571428571,130.95642857142857,14,13.0,144.44
A Ashish Reddy,529,2015-04-16,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rajasthan Royals,13,9,0,1,1,0,144.44,12.333333333333334,12.0,15.0,133.62800000000001,14.0,17.72189349112426,8.333333333333334,10.666666666666666,126.988,15,15.0,187.5
A Ashish Reddy,531,2015-04-18,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Delhi Capitals,15,8,1,2,1,1,187.5,12.0,10.5,16.6,151.12800000000001,14.0,17.72189349112426,8.0,10.8125,128.07875,16,22.0,275.0
A Ashish Reddy,544,2015-04-27,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,22,8,0,3,2,1,275.0,12.333333333333334,7.5,13.8,161.12800000000001,22.0,19.662264150943397,5.5,11.058823529411764,131.57411764705884,17,6.0,100.0
A Ashish Reddy,551,2015-05-02,"Rajiv Gandhi International Stadium, Uppal",Chennai Super Kings,6,6,1,1,0,1,100.0,15.0,19.5,12.2,155.67399999999998,8.454545454545455,19.61134163208852,7.5,11.666666666666666,139.54222222222222,18,17.0,113.33
A Ashish Reddy,572,2015-05-17,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,17,15,1,1,1,0,113.33,13.5,10.0,14.6,164.054,8.454545454545455,19.61134163208852,3.6666666666666665,11.368421052631579,137.46105263157895,19,32.0,177.78
A Ashish Reddy,580,2016-04-12,M Chinnaswamy Stadium,Royal Challengers Bangalore,32,18,1,5,3,2,177.78,11.0,7.0,18.4,170.72199999999998,17.5,19.843718079673135,4.666666666666667,11.65,136.2545,20,13.0,144.44
A Ashish Reddy,584,2016-04-16,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders,13,9,1,1,1,0,144.44,8.5,4.0,18.0,162.10999999999999,8.454545454545455,19.61134163208852,9.5,12.619047619047619,138.23190476190476,21,2.0,66.67
A Chandila,373,2012-05-18,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,0,1,1,0,0,0,0.0,0.0,11.0,0.0,0.0,0.0,19.61134163208852,2.0,12.173913043478262,135.3904347826087,0,4.0,66.67
A Chopra,88,2008-05-08,Eden Gardens,Royal Challengers Bangalore,2,5,1,0,0,0,40.0,2.0,2.0,2.0,40.0,5.666666666666667,19.11173184357542,2.0,2.0,33.335,0,24.0,96.0
A Chopra,92,2008-05-11,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,24,25,1,3,0,3,96.0,17.5,4.0,13.0,68.0,24.0,19.61134163208852,4.5,2.0,40.0,1,13.0,72.22
